,SLS,SLF,MIL,ISB,SLS_stor,FR1_stor,FR2_stor,KN_stor
45,1003.5890461076192,531.0748122445932,246.34357241981127,172.36188852228983,1171.8563387183844,302.4144878220424,0.0,166.06223177395503
46,1006.7730394759745,537.0345224526208,248.0920227494682,172.2364992469996,1185.1059254729316,304.9537213384275,0.0,166.0354337420288
47,1017.8828739052835,542.9857902912039,250.10031537789033,172.20970121507338,1198.3555122274788,308.34678579552343,0.0,166.85287465391812
48,1029.750839573943,548.9286157603425,252.9563191238752,173.0271421269627,1211.605098982026,312.3252915739476,0.0,167.5068273834296
49,1041.0902724990824,554.8629988600367,256.39164436804015,173.68109485647418,1224.8546857365732,315.9540102455229,0.0,167.6920160138889
50,1051.1643733240078,560.7889395902864,258.8686353343299,173.86628348693347,1238.1042724911206,319.00682214120843,0.0,167.7470766704792
51,1061.2679368040767,566.7064379510917,261.36602704945994,173.92134414352378,1251.3538592456675,322.0197146981182,0.0,168.74264347514082
52,1071.6363170466918,572.6154939424526,263.81737960266594,174.9169109481854,1264.6034460002147,330.11228460184566,0.0,173.21778557383223
53,1081.8081147096498,578.5161075643691,271.3422896795416,179.3920530468768,1277.853032754762,336.4117887234687,0.0,174.07392900943864
54,1092.874569491362,584.4082788168411,275.3135983735714,180.24819648248322,1291.102619509309,339.7663934781502,0.0,173.76975020587042
55,1104.6545348943714,590.2920076998686,276.8870084522955,179.944017678915,1304.3522062638563,342.6189462006191,0.0,173.1995271635663
56,1115.8030667019073,596.1672942134517,279.1535418784682,179.37379463661088,1317.6017930184034,345.5556318155085,0.0,172.743348729723
57,1125.5202045230644,602.0341383575903,281.4980883739131,178.9176162027676,1330.8513797729506,350.51529131128865,0.0,171.95950680980008
58,1135.2639753739425,607.8925401322846,285.8594889271007,178.13377428284466,1344.100966527498,354.78676350244257,0.0,171.16424087745074
59,1144.712883405064,613.7424995375344,289.52658235251386,177.33850835049532,1357.3505532820452,357.75807457181907,0.0,170.92312366809603
60,1154.428258287989,619.5840165733397,291.88739483300145,177.0973911411406,1370.6001400365922,360.7319562197036,0.0,170.38113502516708
61,1164.948351917558,625.5553857725092,294.65256735844406,176.55540249821166,1381.7116139984983,233.38325705625965,131.64131515621517,169.81797187963716
62,1173.2060989892504,629.3264632669892,295.23453199516484,171.66361279437857,1391.0016223640425,204.12567694776487,165.15921657984956,170.6330225419691
63,1180.6735374303873,633.1407023258118,296.96131720258495,168.75858103884866,1398.4437144515023,232.90221476210493,140.4643843454128,171.5714721271656
64,1184.6545118330023,636.9981029489771,299.3291894818589,165.72305385305478,1403.5867660805172,253.94106746300815,122.99857606824465,172.23157923349203
65,1186.5265986215425,643.1421184055174,301.443403141455,162.4675083690479,1414.8612998261524,228.50562764008325,153.96746758433045,173.18312369469956
66,1194.8198170369853,647.0738596261507,305.56730710849075,159.73409576535664,1428.1108865806996,227.2615632172157,160.99119216275434,174.3799620397915
67,1205.7093807638507,651.005600846784,309.9677444613499,157.26567083765067,1441.3604733352468,236.44145490471172,154.3959239419803,175.42750253389522
68,1216.559605912161,654.9373420674173,311.1967313556125,154.80213450131464,1454.6100600897942,221.5949560982976,173.45622769997607,176.43154154046886
69,1227.4972917161085,658.8690832880505,314.0718264610572,152.3256689905443,1467.8596468443411,219.97618686311696,179.8748541171564,177.95603938914132
70,1237.4971901911201,662.8008245086838,317.5434916898798,150.37410830333545,1481.1092335988883,197.40965335304912,215.89437140622226,180.78354444223103
71,1247.1267095271337,666.7325657293171,329.6705313705028,149.72724439356014,1494.3588203534357,201.56178368964706,228.56405922311458,191.78400928321037
72,1256.3396343489278,670.6643069499504,345.1671563508618,157.25487035465176,1507.6084071079829,215.36381776674068,222.90111141330658,197.88530057872092
73,1265.876456687077,674.5960481705837,351.97532794996033,159.8867736138068,1520.8579938625303,216.72045987052388,225.65883492242955,202.0146334643291
74,1275.5692836424723,678.527789391217,354.4209573589594,160.6345318611966,1534.1075806170775,226.7396175006073,220.02346154942668,205.04895544269039
75,1285.8372744201347,682.4595306118503,356.98305350229896,160.28846214410746,1547.3571673716247,223.8571603128117,227.07525010210196,207.5936298185705
76,1295.8511787657912,686.3912718324835,359.3305382407434,159.45392776730503,1560.6067541261718,230.29166526142615,225.3992308975403,209.75006551741842
77,1306.157118372689,690.3230130531168,362.26771565960576,158.2323376562384,1573.856340880719,242.8173847094719,216.24937921240456,211.57473989451097
78,1316.1437950499896,694.2547542737501,363.82260588629464,156.68016916618436,1587.1059276352662,234.96270027512472,229.5207485963078,213.43273063518376
79,1325.8734430397144,698.1864954943834,367.4185209692005,155.16215921535442,1596.5170634956964,220.9181636336245,250.0079977558841,215.0635465002061
80,1332.1751003596423,702.1182367150167,372.0405921438154,153.41779695516297,1595.6948008155653,234.34296120410445,243.57963237196927,216.56067839851139
81,1328.0832989940634,706.04997793565,377.2164617660822,151.54080579379684,1595.0325982803802,239.76833338418373,244.7352426601464,218.30719171788428
82,1324.171847664921,709.9817191562832,381.97692964690543,149.9143419920809,1594.350105853704,243.47368713261739,251.68791203426048,221.17186146512628
83,1320.54500824178,713.9134603769165,390.81446727286874,149.40721313971048,1593.3627116295356,234.74629937436575,269.25777250489415,223.40565253574476
84,1316.7919230241625,717.8452015975498,397.8364720757218,148.27039383893572,1592.1966614023513,245.35271425514762,265.9513582729761,225.13061583862503
85,1313.1136863477461,721.7769428181831,403.31601542586105,146.6259364228626,1590.7771066309504,252.40202829480205,265.55947761054034,226.9379606289699
