datetime,SRI,SJI
1906-08-11,11.940817278,6.87351297228
1906-08-12,11.940817278,6.87351297228
1906-08-13,11.940817278,6.87351297228
1906-08-14,11.940817278,6.87351297228
1906-08-15,11.940817278,6.87351297228
1906-08-16,11.940817278,6.87351297228
1906-08-17,11.940817278,6.87351297228
1906-08-18,11.940817278,6.87351297228
1906-08-19,11.940817278,6.87351297228
1906-08-20,11.940817278,6.87351297228
1906-08-21,11.940817278,6.87351297228
1906-08-22,11.940817278,6.87351297228
1906-08-23,11.940817278,6.87351297228
1906-08-24,11.940817278,6.87351297228
1906-08-25,11.940817278,6.87351297228
1906-08-26,11.940817278,6.87351297228
1906-08-27,11.940817278,6.87351297228
1906-08-28,11.940817278,6.87351297228
1906-08-29,11.940817278,6.87351297228
1906-08-30,11.940817278,6.87351297228
1906-08-31,11.940817278,6.87351297228
1906-09-01,11.940817278,6.87351297228
1906-09-02,11.940817278,6.87351297228
1906-09-03,11.940817278,6.87351297228
1906-09-04,11.940817278,6.87351297228
1906-09-05,11.940817278,6.87351297228
1906-09-06,11.940817278,6.87351297228
1906-09-07,11.940817278,6.87351297228
1906-09-08,11.940817278,6.87351297228
1906-09-09,11.940817278,6.87351297228
1906-09-10,11.940817278,6.87351297228
1906-09-11,11.940817278,6.87351297228
1906-09-12,11.940817278,6.87351297228
1906-09-13,11.940817278,6.87351297228
1906-09-14,11.940817278,6.87351297228
1906-09-15,11.940817278,6.87351297228
1906-09-16,11.940817278,6.87351297228
1906-09-17,11.940817278,6.87351297228
1906-09-18,11.940817278,6.87351297228
1906-09-19,11.940817278,6.87351297228
1906-09-20,11.940817278,6.87351297228
1906-09-21,11.940817278,6.87351297228
1906-09-22,11.940817278,6.87351297228
1906-09-23,11.940817278,6.87351297228
1906-09-24,11.940817278,6.87351297228
1906-09-25,11.940817278,6.87351297228
1906-09-26,11.940817278,6.87351297228
1906-09-27,11.940817278,6.87351297228
1906-09-28,11.940817278,6.87351297228
1906-09-29,11.940817278,6.87351297228
1906-09-30,11.940817278,6.87351297228
1906-10-01,11.940817278,6.87351297228
1906-10-02,11.940817278,6.87351297228
1906-10-03,11.940817278,6.87351297228
1906-10-04,11.940817278,6.87351297228
1906-10-05,11.940817278,6.87351297228
1906-10-06,11.940817278,6.87351297228
1906-10-07,11.940817278,6.87351297228
1906-10-08,11.940817278,6.87351297228
1906-10-09,11.940817278,6.87351297228
1906-10-10,11.940817278,6.87351297228
1906-10-11,11.940817278,6.87351297228
1906-10-12,11.940817278,6.87351297228
1906-10-13,11.940817278,6.87351297228
1906-10-14,11.940817278,6.87351297228
1906-10-15,11.940817278,6.87351297228
1906-10-16,11.940817278,6.87351297228
1906-10-17,11.940817278,6.87351297228
1906-10-18,11.940817278,6.87351297228
1906-10-19,11.940817278,6.87351297228
1906-10-20,11.940817278,6.87351297228
1906-10-21,11.940817278,6.87351297228
1906-10-22,11.940817278,6.87351297228
1906-10-23,11.940817278,6.87351297228
1906-10-24,11.940817278,6.87351297228
1906-10-25,11.940817278,6.87351297228
1906-10-26,11.940817278,6.87351297228
1906-10-27,11.940817278,6.87351297228
1906-10-28,11.940817278,6.87351297228
1906-10-29,11.940817278,6.87351297228
1906-10-30,11.940817278,6.87351297228
1906-10-31,11.940817278,6.87351297228
1906-11-01,11.940817278,6.87351297228
1906-11-02,11.940817278,6.87351297228
1906-11-03,11.940817278,6.87351297228
1906-11-04,11.940817278,6.87351297228
1906-11-05,11.940817278,6.87351297228
1906-11-06,11.940817278,6.87351297228
1906-11-07,11.940817278,6.87351297228
1906-11-08,11.940817278,6.87351297228
1906-11-09,11.940817278,6.87351297228
1906-11-10,11.940817278,6.87351297228
1906-11-11,11.940817278,6.87351297228
1906-11-12,11.940817278,6.87351297228
1906-11-13,11.940817278,6.87351297228
1906-11-14,11.940817278,6.87351297228
1906-11-15,11.940817278,6.87351297228
1906-11-16,11.940817278,6.87351297228
1906-11-17,11.940817278,6.87351297228
1906-11-18,11.940817278,6.87351297228
1906-11-19,11.940817278,6.87351297228
1906-11-20,11.940817278,6.87351297228
1906-11-21,11.940817278,6.87351297228
1906-11-22,11.940817278,6.87351297228
1906-11-23,11.940817278,6.87351297228
1906-11-24,11.940817278,6.87351297228
1906-11-25,11.940817278,6.87351297228
1906-11-26,11.940817278,6.87351297228
1906-11-27,11.940817278,6.87351297228
1906-11-28,11.940817278,6.87351297228
1906-11-29,11.940817278,6.87351297228
1906-11-30,11.940817278,6.87351297228
1906-12-01,11.940817278,6.87351297228
1906-12-02,11.940817278,6.87351297228
1906-12-03,11.940817278,6.87351297228
1906-12-04,11.940817278,6.87351297228
1906-12-05,11.940817278,6.87351297228
1906-12-06,11.940817278,6.87351297228
1906-12-07,11.940817278,6.87351297228
1906-12-08,11.940817278,6.87351297228
1906-12-09,11.940817278,6.87351297228
1906-12-10,11.940817278,6.87351297228
1906-12-11,11.940817278,6.87351297228
1906-12-12,11.940817278,6.87351297228
1906-12-13,11.940817278,6.87351297228
1906-12-14,11.940817278,6.87351297228
1906-12-15,11.940817278,6.87351297228
1906-12-16,11.940817278,6.87351297228
1906-12-17,11.940817278,6.87351297228
1906-12-18,11.940817278,6.87351297228
1906-12-19,11.940817278,6.87351297228
1906-12-20,11.940817278,6.87351297228
1906-12-21,11.940817278,6.87351297228
1906-12-22,11.940817278,6.87351297228
1906-12-23,11.940817278,6.87351297228
1906-12-24,11.940817278,6.87351297228
1906-12-25,11.940817278,6.87351297228
1906-12-26,11.940817278,6.87351297228
1906-12-27,11.940817278,6.87351297228
1906-12-28,11.940817278,6.87351297228
1906-12-29,11.940817278,6.87351297228
1906-12-30,11.940817278,6.87351297228
1906-12-31,11.940817278,6.87351297228
1907-01-01,9.1502786274,3.6454769062
1907-01-02,9.105648451899999,3.6415868713999995
1907-01-03,9.058334869700001,3.6333171922
1907-01-04,9.048380313800001,3.6320323862
1907-01-05,9.0420750234,3.63456633
1907-01-06,9.042060341,3.6354431249999997
1907-01-07,9.0446632632,3.638172621
1907-01-08,9.0513333582,3.6532209715999997
1907-01-09,9.0566091498,3.6663957307999997
1907-01-10,9.058558922000001,3.6732083205999997
1907-01-11,9.0611266531,3.680598481
1907-01-12,9.0632685814,3.6837553432
1907-01-13,9.0628346222,3.6856498922
1907-01-14,9.067097377100001,3.6871569795999997
1907-01-15,9.0631810554,3.6884457414
1907-01-16,9.064662433399999,3.6890295018000003
1907-01-17,9.0654201582,3.6897169605999998
1907-01-18,9.0686772205,3.690318339
1907-01-19,9.0694656557,3.6915895482
1907-01-20,9.069598151600001,3.6943044545999997
1907-01-21,9.0727877937,3.6960443859999996
1907-01-22,9.0718116212,3.6979910578
1907-01-23,9.0659314812,3.7004181598
1907-01-24,9.0601963909,3.6998206324000003
1907-01-25,9.060038390999999,3.6997131222
1907-01-26,9.0750062532,3.6982799793999996
1907-01-27,9.0597535782,3.6959290422000004
1907-01-28,9.056259162,3.6949882894
1907-01-29,9.0511806981,3.6945098464
1907-01-30,9.0486634104,3.6942005839999994
1907-01-31,9.048209483699999,3.6939602864
1907-02-01,9.098508757,3.7028405587999997
1907-02-02,9.1623597397,3.7234734624
1907-02-03,9.2893490048,3.7505482714
1907-02-04,9.349090730599999,3.7747078280000004
1907-02-05,9.444884786500001,3.7998377742000002
1907-02-06,9.552967497800001,3.8285061023999996
1907-02-07,9.676614580799999,3.8655744932000005
1907-02-08,9.771963565,3.901335934
1907-02-09,9.8723795069,3.9340223119999997
1907-02-10,9.9488218716,3.9716907862
1907-02-11,10.022587570199999,4.002119946599999
1907-02-12,10.0806496364,4.0336484937999995
1907-02-13,10.147020597300001,4.0661203048
1907-02-14,10.2203769487,4.0991479388
1907-02-15,10.2780274211,4.1310596566
1907-02-16,10.334671283499999,4.1622689524
1907-02-17,10.4017427533,4.1925066688
1907-02-18,10.456831534700001,4.2216504002
1907-02-19,10.5359914553,4.249498148
1907-02-20,10.590375531,4.2799101562
1907-02-21,10.663492242099998,4.3098651222
1907-02-22,10.7121511237,4.3343757501999995
1907-02-23,10.7603843646,4.3574798584
1907-02-24,10.8067277834,4.379714487
1907-02-25,10.8479419843,4.400963409999999
1907-02-26,10.879027559899999,4.4194396066
1907-02-27,10.909718399399999,4.4367811938
1907-02-28,10.9393206429,4.4520431892
1907-03-01,10.9314416298,4.4515730306
1907-03-02,10.9527473696,4.468629782
1907-03-03,10.996807946099999,4.5040979764
1907-03-04,11.0306073525,4.5300893042000006
1907-03-05,11.1261231358,4.5564631208
1907-03-06,11.2656470879,4.5867350685999995
1907-03-07,11.3401422775,4.611048009799999
1907-03-08,11.3912058864,4.635503048
1907-03-09,11.4404594421,4.6595958846
1907-03-10,11.527199403400001,4.6840196364
1907-03-11,11.6382879651,4.7079391818
1907-03-12,11.7365143378,4.730217569400001
1907-03-13,11.876677148699999,4.7528516614
1907-03-14,11.9818428765,4.7747859674
1907-03-15,12.059054844199999,4.8010242346
1907-03-16,12.099663401199997,4.8237840724000005
1907-03-17,12.1393275721,4.8462309166
1907-03-18,12.178437691400001,4.868423121999999
1907-03-19,12.2174195184,4.915708047000001
1907-03-20,12.2534360884,4.938153136
1907-03-21,12.2993767446,4.960464544
1907-03-22,12.3354903434,4.985326372199999
1907-03-23,12.3725118092,5.009766024199999
1907-03-24,12.405053087299997,5.0293153374
1907-03-25,12.4378673735,5.0472613438
1907-03-26,12.4651590434,5.0642023574
1907-03-27,12.4803573049,5.0779625710000005
1907-03-28,12.4983990072,5.091182262
1907-03-29,12.514538481699999,5.1040548242
1907-03-30,12.5364589928,5.116586505800001
1907-03-31,12.5520434182,5.1303307754
1907-04-01,12.5353079533,5.1549867434
1907-04-02,12.5653869209,5.206707584
1907-04-03,12.6007928089,5.2623033716
1907-04-04,12.635644491699999,5.3170256588
1907-04-05,12.6698860889,5.3707878566
1907-04-06,12.7034580321,5.423091977
1907-04-07,12.736147910100001,5.4738566252
1907-04-08,12.767745662900001,5.522660993600001
1907-04-09,12.7983307825,5.569270634
1907-04-10,12.827623691300001,5.6136101804
1907-04-11,12.8555417137,5.6553584576
1907-04-12,12.8819200433,5.6942535398
1907-04-13,12.906727556900002,5.7304000262
1907-04-14,12.9299488801,5.763447755
1907-04-15,12.9513533065,5.793515729600001
1907-04-16,12.9711610677,5.8205313830000005
1907-04-17,12.9890220821,5.844342876800001
1907-04-18,13.0049338489,5.8652019368
1907-04-19,13.0189512973,5.882911029200001
1907-04-20,13.0311354721,5.897791265
1907-04-21,13.0414192897,5.909812328600001
1907-04-22,13.049766019300002,5.918913631400001
1907-04-23,13.0563441113,5.925583789400001
1907-04-24,13.0610993193,5.9297594365999995
1907-04-25,13.0640951945,5.9315122225999986
1907-04-26,13.0652056317,5.931190301000001
1907-04-27,13.064855190500001,5.9287616648
1907-04-28,13.062940755700001,5.924545821199999
1907-04-29,13.059539597299999,5.918577188
1907-04-30,13.054739020900001,5.9110050098
1907-05-01,13.026724099700001,5.8564451372
1907-05-02,13.0246459145,5.850457603400001
1907-05-03,13.0313273085,5.853906069800001
1907-05-04,13.0379523049,5.8573085
1907-05-05,13.0444728549,5.8607679752
1907-05-06,13.0509158665,5.863949024
1907-05-07,13.0571902461,5.867221541599999
1907-05-08,13.0634641445,5.870430193400001
1907-05-09,13.0696553185,5.873475754999999
1907-05-10,13.0757757461,5.876490560600001
1907-05-11,13.0817868009,5.8795615645999995
1907-05-12,13.0876181393,5.882346266000001
1907-05-13,13.093466005300002,5.8852318028
1907-05-14,13.0992313141,5.8879761458
1907-05-15,13.1048930517,5.8906994612000005
1907-05-16,13.110484342900001,5.893397011999999
1907-05-17,13.1158791481,5.8959513452
1907-05-18,13.1212747061,5.8984856485999995
1907-05-19,13.126589566900002,5.9009215172000005
1907-05-20,13.131823030500001,5.903265919400001
1907-05-21,13.1369493797,5.905623887000001
1907-05-22,13.142003147300002,5.907935290999999
1907-05-23,13.1468446097,5.910034191199999
1907-05-24,13.1517151613,5.9122153286
1907-05-25,13.1565029357,5.9143303526
1907-05-26,13.161179853700002,5.916301686800001
1907-05-27,13.1657751893,5.918247171800001
