datetime,PAR_fnf,CNS_fnf,DNP_fnf,FOL_fnf,ISB_fnf,KWH_fnf,EXC_fnf,MIL_fnf,yuba_fnf,NHG_fnf,NML_fnf,ORO_fnf,PFT_fnf,SHA_fnf,SUC_fnf,YRS_fnf,ORIG_PAR_fnf,ORIG_CNS_fnf,ORIG_DNP_fnf,ORIG_FOL_fnf,ORIG_ISB_fnf,ORIG_KWH_fnf,ORIG_EXC_fnf,ORIG_MIL_fnf,ORIG_yuba_fnf,ORIG_NHG_fnf,ORIG_NML_fnf,ORIG_ORO_fnf,ORIG_PFT_fnf,ORIG_SHA_fnf,ORIG_SUC_fnf,ORIG_YRS_fnf
11/2/2006,0.133076193,0.156556848,1.215011379,0.769941954,4.432989136,1.25429698,0.713063813,3.260795968,0.407634358,0.494669851,0.176906542,3.282157986,4.019947731,21.07881978,0.227973941,0.591894481,0.141419049,0.156556848,1.763347596,1.007601789,1.325149955,0.603934438,1.200115729,3.152004073,0.407634358,0.110678361,0.187290831,1.803419142,4.087428148,4.899613424,0.030491669,0.898570051
11/3/2006,0.383886132,0.101103045,1.758017482,0.938979462,4.382522352,1.247104268,0.813447948,3.628422254,0.763520509,1.203032041,0.30365855,14.91473774,4.361023337,93.50688746,0.221097086,1.076848638,0.407952847,0.101103045,2.55141306,1.228816512,1.310063959,0.600471202,1.369066358,3.507365022,0.763520509,0.269168647,0.321483092,8.195072769,4.434229182,21.73497406,0.029571885,1.634791278
11/4/2006,0.074833456,0.021878467,1.87093281,0.266721317,4.324424296,1.244657245,0.867758101,3.63729322,0.586949843,0.013685708,0.126853102,1.406469937,4.545426843,8.75095544,0.214785103,0.789629791,0.079524939,0.021878467,2.715287222,0.349050828,1.292696753,0.599292979,1.46047258,3.515940021,0.586949843,0.003062066,0.134299289,0.772800949,4.621728158,2.034093901,0.028727653,1.198757049
11/5/2006,0.082980476,0.006722567,1.781656194,0.125126978,4.260125843,1.237559384,0.896983065,3.759154869,0.078821113,0.013762077,0.131842755,0.444253348,4.662229388,3.00033925,0.208961192,0.088644253,0.088182715,0.006722567,2.585719954,0.163750224,1.273476067,0.595875413,1.509659396,3.633735926,0.078821113,0.003079153,0.139581831,0.244100069,4.740491396,0.697406336,0.027948701,0.134573093
11/6/2006,0.085394827,0.006772674,1.780956238,0.128361787,4.176161112,1.220573969,0.875038681,3.715260733,0.068557958,0.013688962,0.13332104,0.454569996,4.601677199,2.202680959,0.203320914,0.083442658,0.090748427,0.006772674,2.584704107,0.167983529,1.248376556,0.587697065,1.472726096,3.591306257,0.068557958,0.003062794,0.141146891,0.249768669,4.678922754,0.511996654,0.02719431,0.12667642
11/7/2006,0.084056118,0.006664079,1.675562127,0.124846312,4.063445043,1.195286403,0.83438552,3.603566322,0.058537832,0.013410351,0.131693052,0.440878237,4.440718049,2.397424435,0.197815327,0.075519087,0.089325792,0.006664079,2.431745496,0.163382924,1.21468243,0.575521295,1.404305153,3.483338373,0.058537832,0.003000457,0.139423341,0.242245576,4.515261681,0.557263313,0.026457934,0.114647445
11/8/2006,2.189017989,2.651376856,5.112236494,11.92122513,3.922696514,1.165972598,1.842062129,4.193073834,6.557232877,2.750028542,3.827245626,25.65136194,4.287021339,115.5098581,0.192631735,9.529834109,2.326252621,2.651376856,7.419395479,15.60097837,1.172608583,0.561406921,3.100266338,4.053177792,6.557232877,0.615296548,4.051902235,14.0944334,4.358984958,26.84939942,0.025764625,14.4674833
11/9/2006,0.195802963,0.02451655,2.619117833,0.726803566,3.809825776,1.164272413,1.185663243,4.342904243,0.616743716,0.076326597,0.246119209,1.998595364,4.428788118,8.077730003,0.425395461,0.75946137,0.208078306,0.02451655,3.80112912,0.951147772,1.138868222,0.560588295,1.995520012,4.198009319,0.616743716,0.017077456,0.260566232,1.098151019,4.50313149,1.877607702,0.056896931,1.152957603
11/10/2006,0.222354994,0.026388541,2.938779446,0.728652034,3.710507022,1.133205247,1.317270998,4.422695115,0.417421417,0.021629608,0.294900675,1.787495056,4.42862499,6.695930181,0.184674041,0.584386366,0.236294946,0.026388541,4.265054436,0.95356681,1.109178945,0.545629691,2.217021276,4.27513808,0.417421417,0.004839449,0.312211136,0.982159547,4.502965623,1.556418706,0.024700278,0.887171791
11/11/2006,0.261393023,0.148206807,2.810531193,1.274187023,3.638864054,1.118799721,1.285232541,4.439544229,0.728262687,0.083870763,0.351727276,11.19221943,4.398544537,69.49705784,0.181020923,2.194172232,0.27778036,0.148206807,4.078927579,1.667493397,1.087762769,0.53869354,2.163099235,4.291425047,0.728262687,0.018765402,0.372373418,6.149692628,4.472380228,16.1540694,0.024211671,3.331028617
11/12/2006,0.261070535,0.035370994,3.071946814,0.759423216,3.636473578,1.111105846,1.361373114,4.566780926,1.297751916,0.023802326,0.474839263,7.115211768,4.51081805,11.98727263,0.177991674,1.167293683,0.277437654,0.035370994,4.45832041,0.993836207,1.087048186,0.534988998,2.291246952,4.41441667,1.297751916,0.005325577,0.502711992,3.909534263,4.586538408,2.786351538,0.023806507,1.7720982
11/13/2006,13.2018592,8.907932132,22.22564466,39.22291837,5.049143472,3.079810321,11.29522837,14.95015817,17.49125657,37.23979209,19.82687096,84.75256912,8.212577219,114.6413456,0.877001944,24.27054931,14.02951447,8.907932132,32.25610703,51.32995096,1.509336486,1.482905201,19.01033398,14.45136706,17.49125657,8.332100984,20.99069425,46.5682658,8.350436756,26.64752021,0.117299604,36.84573759
11/14/2006,27.6774654,10.27817166,33.18381861,105.3897014,11.85381539,8.175052698,19.02034174,24.25090355,46.72205322,8.30659611,30.40577559,166.1376481,12.93631088,137.5085371,2.536062837,65.23339544,29.41263011,10.27817166,48.15971915,137.9205941,3.543451709,3.936225579,32.01201756,23.44180608,46.72205322,1.858533406,32.1905731,91.28622576,13.15346486,31.96282721,0.339200122,99.03247511
11/15/2006,9.986730938,3.49791452,18.22815481,27.31143908,10.87508677,6.396049663,10.96255039,21.45794463,11.71220695,3.840439904,14.60644972,49.2966137,12.73301114,73.86356091,0.308521802,15.73031814,10.61282234,3.49791452,26.45454481,35.7417267,3.250881134,3.079649174,18.45042326,20.74203033,11.71220695,0.859267233,15.46383798,27.08658668,12.94675245,17.16903026,0.041265,23.88059566
11/16/2006,5.224019865,1.649212806,11.66742181,14.76419529,12.80686981,5.711873671,7.398646922,18.28395289,10.85511573,2.09790737,7.676612554,112.8840723,15.76633186,502.8391494,0.330667148,12.94071017,5.551525827,1.649212806,16.93294446,19.32149498,3.828347518,2.750223647,12.45222712,17.67393438,10.85511573,0.469389733,8.127224277,62.02544111,16.03099168,116.8811856,0.044226955,19.64562091
11/17/2006,5.918290592,1.271834478,10.01638743,23.87174301,12.35220378,4.723820877,6.286086872,16.51758173,28.31997975,1.394173576,7.101448521,152.1994864,16.21222132,356.4968079,0.33723107,33.15301783,6.289322002,1.271834478,14.53679611,31.24029136,3.692434558,2.274483756,10.57974279,15.96649573,28.31997975,0.311935013,7.518298523,83.62774379,16.48436602,82.86500687,0.045104884,50.33043874
11/18/2006,7.320151395,1.138934942,10.1188513,22.66701724,11.39261556,4.062335756,5.984659932,16.20858457,21.90451628,1.062266032,7.074300769,109.774137,16.41211987,206.5775846,0.335037212,28.87456152,7.779068721,1.138934942,14.68550206,29.66369999,3.405585608,1.955983711,10.07242885,15.66780782,21.90451628,0.237673396,7.489557217,60.31665167,16.68762014,48.01740882,0.044811454,43.83520551
11/19/2006,6.038935423,0.92031957,8.985362023,14.13175901,10.65015096,3.602687662,5.693528918,15.49320825,9.387682684,0.839101157,6.140741174,61.79944111,16.62926467,141.7066439,0.329255552,13.63944096,6.417530338,0.92031957,13.0404676,18.49384307,3.183641249,1.734666656,9.582443378,14.97629903,9.387682684,0.187742068,6.501198335,33.95640781,16.90841002,32.93864563,0.044038153,20.70638188
11/20/2006,4.33713227,0.709107936,8.663830581,9.442372264,9.87781978,3.249496153,5.443816774,14.61321644,11.24506281,0.677857784,5.530097117,112.4283204,17.0897754,455.0287446,0.321258007,15.20074612,4.609037185,0.709107936,12.5738286,12.35697203,2.952768896,1.564607636,9.162167567,14.12566692,11.24506281,0.151665173,5.854709904,61.775023,17.37665106,105.7680159,0.042968476,23.07663891
11/21/2006,9.046303691,6.524727448,12.3837709,121.1784591,8.741652517,2.9761524,6.110273867,14.26376936,101.5336291,4.528469432,11.83596069,322.1224298,17.23010179,366.7906897,0.312811814,151.031264,9.613437521,6.524727448,17.97258283,158.5829057,2.61313531,1.432994702,10.28384227,13.78787865,101.5336291,1.013208251,12.53072321,176.9938432,17.51933303,85.25774242,0.041838792,229.2843994
11/22/2006,10.15939958,4.233105415,12.25053878,67.84868926,7.819765529,2.786336879,5.701387323,13.30400554,46.28016122,1.94968885,13.41490355,163.0492612,14.27840247,507.7006383,0.305152743,70.7648324,10.79631598,4.233105415,17.77922288,88.79170743,2.337556358,1.341599975,9.595669397,12.86013601,46.28016122,0.436227043,14.20234889,89.58927631,14.51808532,118.0112022,0.040814386,107.4298901
